symbol,start_ts,level_price,side,label,body_volume_slope,price_return_kurtosis,volume_autocorrelation,poc_to_level_dist,squeeze_ratio,taker_ratio,wall_size_usd,wall_eaten_pct,book_depth_behind,book_imbalance,box_width_pct,duration_mins,episode_touches,volume_trend,level_touches,tick_speed_accel,trade_size_entropy,buy_sell_clustering
ENJUSDT,1774137000000,0.02266716,resistance,REJECTED,-0.013997354106175914,1.7580542724874357,0.6471931366269124,0.0004039230972774983,0.2888888888888799,0.45543274085343455,155832.79195,0.08618086975336015,394509.80873,0.1700623918430305,0.03088,165.0,3,-0.071038,67,0.2,1.0921956368697847,0.8469485568218128
ENJUSDT,1774152600000,0.02266716,resistance,BROKE,0.0005531105529822902,0.6635486533242774,0.09228039576565214,-0.0022895167328091915,1.6666666666666412,0.5259446371440606,150589.61505,0.05857481268332365,383292.42628,0.07887634407751605,0.02294,170.0,7,0.004565,67,0.2,2.1747698548497554,0.882213438735178
ENJUSDT,1774165500000,0.02266716,resistance,REJECTED,-0.00854743879183193,0.7936939537751342,0.09447789332996055,-0.008593559093744825,0.42857142857140734,0.46192361088424083,166140.44277,-0.06594309027003331,387915.87434,-0.035098743344068456,0.02338,80.0,2,-0.047815,67,,,
ENJUSDT,1774197300000,0.0216781,resistance,REJECTED,-0.0030309954097836,1.1218925436613754,0.22306016436634502,-0.005035156751696258,1.099999999999962,0.4790428361315985,156996.10768,0.07729997377546294,439470.09786,0.1566289082615909,0.02168,150.0,1,-0.016561,100,0.2,1.5916843825982836,0.9048792508624939
ENJUSDT,1774218600000,0.02067455,support,REJECTED,-0.0017703899892481257,0.4972912157703453,-0.04865897602496572,0.008244435791831142,2.1666666666665315,0.49908659216689316,155246.90641,-0.03384371218879556,504144.23585,-0.032916858144054637,0.00919,95.0,0,0.006316,418,0.2,2.037232749930332,0.6080463273392258
ENJUSDT,1774233300000,0.0216781,resistance,REJECTED,-0.04514949895563902,4.460386500546575,0.3518709297002417,-0.00973308255068974,0.29166666666665403,0.49242257342183715,156890.82833,-0.017373098703648004,353018.41203,0.10846589369293859,0.01984,35.0,1,-0.355545,100,,,
ENJUSDT,1774263900000,0.0216781,resistance,BROKE,-0.015437574426100793,1.1860373438326057,0.7856775566305906,-0.005593566536589452,0.21052631578947617,0.5325619866798289,147817.59461,-0.020364499828322558,333038.3767,0.03236819424084374,0.04244,150.0,8,-0.080763,100,0.2,1.121446527754322,0.7970165157165691
ENJUSDT,1774277100000,0.0216781,support,REJECTED,0.005127292275551927,1.3218997522179055,0.12256193455251559,0.002940391697757547,1.0,0.4992137843187913,177499.25073,0.04372703966471647,564308.84746,0.14333242404806107,0.01707,100.0,3,0.004322,100,0.0,2.791104613204213,0.6603139013452914
ENJUSDT,1774284900000,0.0216781,support,REJECTED,-0.0010394227199617004,1.476957887454366,0.14226993099913324,0.011000915549260479,1.0769230769230194,0.48904530420767117,169841.44484,-0.28264233287232887,532642.52799,0.12122582985931789,0.01845,155.0,6,-0.010993,100,,,
ENJUSDT,1774305300000,0.0216781,support,BROKE,0.005367992664302681,7.840303967641505,0.005866290052489827,-0.0032870913381171946,2.6666666666667824,0.4963580771895329,123240.56474,0.3825043659826479,522868.37536,0.0733493131291885,0.02629,130.0,5,0.025911,100,,,
